timestamp,open,high,low,close,volume
2021-10-29,125500,126500,123000,125500,1891355
2021-11-01,126000,127000,125000,125500,1081519
2021-11-02,126000,128500,126000,128000,1642378
2021-11-03,128000,128500,123500,124500,2937805
2021-11-04,126000,130500,125500,130000,6001098
2021-11-05,131000,131000,126500,128500,2810726
2021-11-08,128500,128500,123000,125000,4026899
2021-11-09,124500,127000,124500,125500,1990889
2021-11-10,125500,127500,123500,124000,1598893
2021-11-11,123000,125500,121500,125500,1955371
2021-11-12,126000,128000,124500,127000,2100660
2021-11-15,127000,129500,127000,129000,1714170
2021-11-16,129000,130000,127000,127500,1591390
2021-11-17,128000,129000,125000,125000,1675657
2021-11-18,125000,126000,123000,124500,1543924
2021-11-19,125000,127500,124500,127000,1512294
2021-11-22,127000,129000,125500,128500,2213290
2021-11-23,127500,128000,124000,124500,1981200
2021-11-24,124500,125500,123500,124500,1589036
2021-11-25,125000,128500,124500,128000,2906344
2021-11-26,127500,128500,125000,125500,1679040
2021-11-29,123000,125500,122000,123000,2031484
2021-11-30,124000,124500,121500,122000,3807209
2021-12-01,121500,123500,121000,122500,1482581
2021-12-02,121500,123000,120000,122500,2028101
2021-12-03,122000,124000,121500,123500,1488902
2021-12-06,122500,122500,120500,121000,1477396
2021-12-07,121500,122000,120000,120500,1218740
2021-12-08,121500,123500,120500,121000,2288195
2021-12-09,120500,122500,120000,122500,2338843
2021-12-10,122000,122500,121000,122500,974383
2021-12-13,123000,123000,120000,120000,1405089
2021-12-14,118500,119000,117000,118500,1718411
2021-12-15,117500,119000,117000,118500,1070223
2021-12-16,119500,120500,118500,119500,1168717
2021-12-17,118000,119000,117500,117500,1265074
2021-12-20,116500,117000,113000,113000,2989796
2021-12-21,112500,115000,112500,114500,1366889
2021-12-22,115000,115500,113500,114500,1036505
2021-12-23,114500,115000,113000,113000,1113550
2021-12-24,113000,115000,112500,114500,1484508
2021-12-27,114000,114500,113000,113000,1116701
2021-12-28,113000,114000,113000,113500,2370856
2021-12-29,115500,117500,114000,114000,1791503
2021-12-30,114000,114500,112500,112500,1223078
2022-01-03,113500,117000,113000,114500,1846049
2022-01-04,114000,114500,111000,111500,2396207
2022-01-05,111000,111000,105000,105500,5108428
2022-01-06,102500,103000,99900,100000,7120428
2022-01-07,100000,101500,99800,100000,3962672
2022-01-10,100000,100500,95200,96600,5377749
2022-01-11,96000,97200,94500,95000,4382380
2022-01-12,96100,98600,96100,97200,3354459
2022-01-13,97500,98200,96200,96700,2519096
2022-01-14,95200,95300,93600,93900,2685014
2022-01-17,92900,94300,92000,92900,2589273
2022-01-18,92900,94400,92000,92000,1650829
2022-01-19,88400,90400,87300,90400,4587643
2022-01-20,90800,92700,88800,92300,3004684
2022-01-21,91100,94100,90600,91800,2954607
2022-01-24,90900,92100,89700,90000,2021697
2022-01-25,90300,90700,87500,87600,2844579
2022-01-26,87300,88600,86600,86900,2204197
2022-01-27,87000,87500,82600,82600,3793749
2022-01-28,82800,85600,82200,85000,2958280
2022-02-03,87100,88300,85100,85100,3118696
2022-02-04,85100,87500,84500,87100,1870626
2022-02-07,87300,88000,85000,88000,2224116
2022-02-08,88000,89200,86000,86500,2030457
2022-02-09,86900,87300,85700,86100,1640629
2022-02-10,86900,89400,86000,87300,3401352
2022-02-11,87300,93600,85300,91700,7012496
2022-02-14,90300,90800,87500,88800,4002853
2022-02-15,89200,91000,87900,88300,2250253
2022-02-16,90200,92100,89600,91900,2468864
2022-02-17,91900,92100,89200,90600,2851978
